Product ID,Active (0/1),Name *,"Categories (x,y,z...)",Price tax excluded,Tax rules ID,Price tax included,On sale (0/1),Discount amount,Discount percent,Discount from (yyyy-mm-dd),Discount to (yyyy-mm-dd),Reference #,Supplier reference #,Supplier,Manufacturer,EAN13,UPC,MPN,Ecotax,Width,Height,Depth,Weight,Delivery time of in-stock products,Delivery time of out-of-stock products with allowed orders,Quantity,Minimal quantity,Low stock level,Receive a low stock alert by email,Visibility,Additional shipping cost,Unity,Unit price,Summary,Description,"Tags (x,y,z...)",Meta title,Meta keywords,Meta description,URL rewritten,Text when in stock,Text when backorder allowed,"Available for order (0 = No, 1 = Yes)",Product available date,Product creation date,"Show price (0 = No, 1 = Yes)","Image URLs (x,y,z...)","Image alt texts (x,y,z...)","Delete existing images (0 = No, 1 = Yes)",Feature(Name:Value:Position),"Available online only (0 = No, 1 = Yes)",Condition,"Customizable (0 = No, 1 = Yes)","Uploadable files (0 = No, 1 = Yes)","Text fields (0 = No, 1 = Yes)",Out of stock action,Virtual product,File URL,Number of allowed downloads,Expiration date,Number of days,ID / Name of shop,Advanced stock management,Depends On Stock,Warehouse,"Acessories  (x,y,z...)"
156,1,LB60  VENTRESCA DE ATÚN CLARO IN OLIVE OIL,Fish & Seafood,29,,29,0,,,,,,,,La Brujula,,,,,,,,110,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
157,1,LB 81 CHIPIRONES EN SU TINTA,Fish & Seafood,32,,32,0,,,,,,,,La Brujula,,,,,,,,110,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
158,1,LB23-MEJILLON ESC HOSTELERÍA,Fish & Seafood,30,,30,0,,,,,,,,La Brujula,,,,,,,,110,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
159,1,LB82-PULPO AO,Fish & Seafood,89,,89,0,,,,,,,,La Brujula,,,,,,,,130,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
160,1,LB83-PULPO GALLEGA,Fish & Seafood,89,,89,0,,,,,,,,La Brujula,,,,,,,,130,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,1,White Tune in olive oil 2000g jar,Fish & Seafood,249,,249,0,,,,,,,,Agromar,,,,,,,,2000,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
163,1,White Tune in olive oil RO-70 can,Fish & Seafood,"12,9",,"12,9",0,,,,,,,,Agromar,,,,,,,,70,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
164,1,White Tune in olive oil 120g tin,Fish & Seafood,"16,9",,"16,9",0,,,,,,,,Agromar,,,,,,,,120,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
165,1,White Tune in olive oil  450 gr jar,Fish & Seafood,65,,65,0,,,,,,,,Agromar,,,,,,,,450,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
166,1,White Tune in olive oil RO-1800 can,Fish & Seafood,229,,229,0,,,,,,,,Agromar,,,,,,,,1800,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
167,1,Cantabrian Anchovies in olive oil 100g jar 16-20 UNITS,Fish & Seafood,45,,45,0,,,,,,,,Agromar,,,,,,,,100,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
168,1,Cantabrian Anchovies in olive oil RR-50 can 8-10 UNITS,Fish & Seafood,22,,22,0,,,,,,,,Agromar,,,,,,,,50,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
169,1,Paté spider crab RO-100 can (centollo),Fish & Seafood,16,,16,0,,,,,,,,Agromar,,,,,,,,100,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
170,1,Paté scorpionfish crab RO-100 can (cabracho),Fish & Seafood,16,,16,0,,,,,,,,Agromar,,,,,,,,100,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
171,1,Paté smoke salmon RO-100 can (salmon),Fish & Seafood,14,,14,0,,,,,,,,Agromar,,,,,,,,100,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
172,1,Paté Lobster RO-100 can (bogavante),Fish & Seafood,24,,24,0,,,,,,,,Agromar,,,,,,,,100,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
173,1,Paté Octopus   RO-100 can (pulpo),Fish & Seafood,16,,16,0,,,,,,,,Agromar,,,,,,,,100,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
174,1,Paté mussles RO-100 can (mejillones),Fish & Seafood,15,,15,0,,,,,,,,Agromar,,,,,,,,100,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
