Product ID,Active (0/1),Name *,"Categories (x,y,z...)",Price tax excluded,Tax rules ID,Price tax included,On sale (0/1),Discount amount,Discount percent,Discount from (yyyy-mm-dd),Discount to (yyyy-mm-dd),Reference #,Supplier reference #,Supplier,Manufacturer,EAN13,UPC,MPN,Ecotax,Width,Height,Depth,Weight,Delivery time of in-stock products,Delivery time of out-of-stock products with allowed orders,Quantity,Minimal quantity,Low stock level,Receive a low stock alert by email,Visibility,Additional shipping cost,Unity,Unit price,Summary,Description,"Tags (x,y,z...)",Meta title,Meta keywords,Meta description,URL rewritten,Text when in stock,Text when backorder allowed,"Available for order (0 = No, 1 = Yes)",Product available date,Product creation date,"Show price (0 = No, 1 = Yes)","Image URLs (x,y,z...)","Image alt texts (x,y,z...)","Delete existing images (0 = No, 1 = Yes)",Feature(Name:Value:Position),"Available online only (0 = No, 1 = Yes)",Condition,"Customizable (0 = No, 1 = Yes)","Uploadable files (0 = No, 1 = Yes)","Text fields (0 = No, 1 = Yes)",Out of stock action,Virtual product,File URL,Number of allowed downloads,Expiration date,Number of days,ID / Name of shop,Advanced stock management,Depends On Stock,Warehouse,"Acessories  (x,y,z...)"
104,1,Allegro 2016,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
105,1,Gran Calzadilla 2013,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
106,1,Crianza,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
107,1,Reserva,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
108,1,UP,Wine Cellar; Rose Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Rose,,,,,,,,,,,,,,,,
109,1,EDP AOP Rosé 2023 75cl,Wine Cellar; Rose Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Rose,,,,,,,,,,,,,,,,
110,1,Sabalo Organic 2022,Wine Cellar; White Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Blanco,,,,,,,,,,,,,,,,
111,1,Patinegro Organic 2022,Wine Cellar; White Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Blanco,,,,,,,,,,,,,,,,
112,1,Tamarix Organic 2023,Wine Cellar; White Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Blanco,,,,,,,,,,,,,,,,
113,1,Vinestar,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
114,1,L'Enclos Vi Fi De Masia Blanc,Wine Cellar; White Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Blanco,,,,,,,,,,,,,,,,
115,1,L'Enclos Tres Feixes,Wine Cellar; White Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Blanco,,,,,,,,,,,,,,,,
116,1,Munia Carácter,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
117,1,Carmelo Rodero Crianza,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
